"No.","Radio ID","Callsign","Name","City","State","Country","Remarks","Call Type","Call Alert"
"1","232","","AT","","","","","Group Call","None"
"2","2","","EU","","","","","Group Call","None"
"3","1","","WW","","","","","Group Call","None"
"4","20","","DACH","","","","","Group Call","None"
"5","10","","WWDTG10","","","","","Group Call","None"
"6","110","","WWDTG110","","","","","Group Call","None"
"7","113","","WWETG113","","","","","Group Call","None"
"8","6","","DSTARDMRTG1","","","","","Group Call","None"
"9","4180","","OEC4FMBridge","","","","","Group Call","None"
"10","4181","","OE1 Lokal","","","","","Group Call","None"
"11","4183","","OE3 Lokal","","","","","Group Call","None"
"12","4185","","OE5 Lokal","","","","","Group Call","None"
"13","4186","","OE6 Lokal","","","","","Group Call","None"
"14","4187","","OE7 Lokal","","","","","Group Call","None"
"15","4188","","OE8 Lokal","","","","","Group Call","None"
"16","4189","","OE Support","","","","","Group Call","None"
"17","4191","","OE1 Land","","","","","Group Call","None"
"18","4192","","OE2 Land","","","","","Group Call","None"
"19","4193","","OE3 Land","","","","","Group Call","None"
"20","4194","","OE4 Land","","","","","Group Call","None"
"21","4195","","OE5 Land","","","","","Group Call","None"
"22","4196","","OE6 Land","","","","","Group Call","None"
"23","4197","","OE7 Land","","","","","Group Call","None"
"24","4198","","OE8 Land","","","","","Group Call","None"
"25","4199","","OE9 Land","","","","","Group Call","None"
"26","5000","","Verbunden mit","","","","","Group Call","None"
"27","4000","","Trennen","","","","","Group Call","None"
"28","92","","Europa","","","","","Group Call","None"
"29","91","","Weltweit","","","","","Group Call","None"
"30","2321","","Wien","","","","","Group Call","None"
"31","2322","","Salzburg","","","","","Group Call","None"
"32","2323","","Nieder-Oe","","","","","Group Call","None"
"33","2324","","Burgenland","","","","","Group Call","None"
"34","2325","","Ober-OeDstar","","","","","Group Call","None"
"35","2326","","Steiermark","","","","","Group Call","None"
"36","2327","","Tirol","","","","","Group Call","None"
"37","2328","","Kaernten","","","","","Group Call","None"
"38","2329","","Vorarlberg","","","","","Group Call","None"
"39","23207","","SuedTirol 1","","","","","Group Call","None"
"40","23201","","OE1BMC4FM","","","","","Group Call","None"
"41","23208","","OE9BMC4FM","","","","","Group Call","None"
"42","23200","","Taktisch 1","","","","","Group Call","None"
"43","23299","","Taktisch 2","","","","","Group Call","None"
"44","232","","OEALL","","","","","Group Call","None"
"45","262","","DLALL","","","","","Group Call","None"
"46","2620","","Sachsen","","","","","Group Call","None"
"47","2621","","Berlin","","","","","Group Call","None"
"48","2622","","Hamburg","","","","","Group Call","None"
"49","2623","","N-Sachsen","","","","","Group Call","None"
"50","2624","","NRW","","","","","Group Call","None"
"51","2626","","Hessen","","","","","Group Call","None"
"52","2627","","BadenWue","","","","","Group Call","None"
"53","2628","","Bayern","","","","","Group Call","None"
"54","2629","","Thueringen","","","","","Group Call","None"
"55","2280","","DeutschCH","","","","","Group Call","None"
"56","920","","GLBMDACH","","","","","Group Call","None"
"57","910","","GLDeutsch","","","","","Group Call","None"
"58","262994","","BMRPT","","","","","Private Call","None"
